¸ú×ÙÂ·¾¶3
X(mm), Y(mm), Z(mm)
153.36792452618, -972.252880325753, -127.360586766477
157.255723094042, -961.968951889014, -128.002439650541
161.126569905311, -951.678659902146, -128.644766779426
164.984125047681, -941.383400532936, -129.287464338931
168.832094182364, -931.084570762426, -129.930428281419
172.674240734203, -920.783577262191, -130.573553709849
176.514398873775, -910.481845716, -131.216734230264
180.356487406766, -900.180830718745, -131.859861263764
184.204524703133, -889.882026404077, -132.502823307755
188.062644814332, -879.586977973142, -133.145505134885
191.935114945297, -869.297294323305, -133.787786916261
195.826354478234, -859.014662011692, -134.429543253176
199.740955758319, -848.740860823955, -135.070642099217
203.683706892998, -838.477781273432, -135.710943550964
207.659616840943, -828.227444413662, -136.350298481708
211.673943108227, -817.992024424358, -136.988546987517
215.732222405426, -807.773874521986, -137.625516609
219.840304665848, -797.575556861493, -138.261020284588
224.004390876497, -787.399877239487, -138.894853981727
228.231075210204, -777.249925579396, -139.526793941375
232.527392005439, -767.129123403, -140.156593456635
236.900868173995, -757.041279759955, -140.783979089153
241.359581646677, -746.990657425289, -141.408646205168
245.91222646029, -736.982051592271, -142.030253686426
250.568185045928, -727.020883806134, -142.648417638255
255.337608152541, -717.113314525248, -143.262703876595
260.231502583547, -707.266378476295, -143.872618926967
265.26182646259, -697.488147908495, -144.477599210194
270.441591038459, -687.787929996313, -145.076998019374
275.784966704261, -678.176505865428, -145.670069819567
281.308353059798, -668.666998006544, -146.255910543398
287.041557417751, -659.282058434908, -146.832953625722
293.025678779011, -650.054560269081, -147.398934224304
299.306571834258, -641.025818799932, -147.951028950624
305.934833449306, -632.248175266746, -148.485690772694
312.965214398244, -623.788306106845, -148.99843983521
320.454692559303, -615.731036494689, -149.483627375936
328.458246963944, -608.183035154507, -149.934216385359
337.021184098475, -601.274829535972, -150.341683353997
346.167349858442, -595.15819017197, -150.696232396474
355.884600002456, -589.994870924137, -150.98757280965
366.112800036987, -585.934146346965, -151.206402630436
376.742871919104, -583.082873751478, -151.346326018201
387.630577589414, -581.463811543171, -151.406462600782
398.628204070652, -580.963780193015, -151.394634785362
409.628245637559, -581.428806007935, -151.321112386756
420.563497959731, -582.711470473619, -151.195585755529
431.395930989935, -584.682099794844, -151.026494864406
442.106703454498, -587.231536019467, -150.820891941468
452.688849561071, -590.269815271774, -150.58455507461
463.142424969453, -593.723386907268, -150.322185286084
473.471449151641, -597.532149027303, -150.037608192393
483.682036680655, -601.646803147613, -149.733950530409
493.781278620298, -606.026663315238, -149.413784649199
503.776585925076, -610.637903901778, -149.079243122752
513.675313916052, -615.452180354722, -148.732108404645
523.484556463653, -620.4455498113, -148.37388264024
533.211041936077, -625.597626432028, -148.005842070769
542.861089580718, -630.890918280402, -147.629079592628
552.440601204238, -636.310304025545, -147.244538238875
561.955072881806, -641.842617386681, -146.853037694267
571.40961741934, -647.476314896062, -146.455295441912
580.808992014588, -653.201208344252, -146.051943754811
590.1576277785, -659.008247774743, -145.643543448968
599.459659200342, -664.889344189358, -145.230595098461
608.718952471961, -670.837223669717, -144.813548247002
617.93913212391, -676.84530648994, -144.392809028803
627.123605733504, -682.907606238767, -143.968746518161
636.275586659569, -689.01864504754, -143.541698057427
645.398114863144, -695.173381856144, -143.111973759239
654.494075936008, -701.367151279907, -142.67986033829
663.566218486602, -707.595611134315, -142.24562439624
672.617170045637, -713.854697052817, -141.809515259144
681.649451652169, -720.140582931366, -141.371767447703
690.665491276664, -726.449646165018, -140.932602845839
699.667636228313, -732.77843682355, -140.492232621537
708.658164683579, -739.123650058746, -140.050858944629
717.639296463099, -745.482101147281, -139.608676539105
726.613203175107, -751.850702662866, -139.165874101842
735.582017832172, -758.226443343768, -138.722635615074
744.547844044339, -764.606368270925, -138.27914157677
753.512764882776, -770.987560016294, -137.835570170307
762.478851501944, -777.367120451938, -137.39209839288
771.448171607084, -783.742152927288, -136.948903160987
780.422797848204, -790.109744536828, -136.506162410427
789.404816221127, -796.466948202872, -136.064056208093
798.396334554681, -802.810764294708, -135.622767893056
807.399491163657, -809.138121492577, -135.182485265253
816.416463747264, -815.445856585577, -134.743401841347
825.449478614393, -821.730692862884, -134.30571819919
834.500820321293, -827.989216713992, -133.869643435131
843.572841803831, -834.217852009068, -133.435396761238
852.667975095885, -840.412831753042, -133.003209274446
861.788742722726, -846.570166426577, -132.573325934791
870.937769855876, -852.685608323187, -132.146007796529
880.117797319254, -858.754611046657, -131.721534545215
889.331695522111, -864.772283171955, -131.300207404142
898.582479382538, -870.733334852998, -130.882352487677
907.873324275713, -876.632015893046, -130.468324696204
917.207582994039, -882.462043452513, -130.058512269396
926.58880363298, -888.216517133253, -129.653342142683
936.020748196827, -893.887818626242, -129.253286287537
945.507411531475, -899.467492412138, -128.858869261521
955.053039911453, -904.946103089259, -128.470677253659
964.662148175689, -910.313063743302, -128.08936898655
974.339533599146, -915.556428350198, -127.715688930424
984.090283742335, -920.662639164447, -127.350483418438
993.919773849175, -925.616217808466, -126.994720402127
1003.83364698996, -930.399385645266, -126.649513795666
1013.83776643812, -934.991595303484, -126.316153609685
1023.93812393507, -939.368950942298, -125.996143372304
1034.14067865479, -943.503490109665, -125.69124667284
1044.45108799037, -947.36229592165, -125.40354498186
1054.87427033554, -950.906407207154, -125.135509053911
1065.41370891107, -954.089500572002, -124.8900859399
1076.07036057934, -956.856343043208, -124.670802236439
1086.84097362397, -959.141075953386, -124.481880475376
1097.71555103554, -960.865525796897, -124.328357191656
1108.6736548174, -961.938001248797, -124.216174531096
1119.67929863777, -962.259435877226, -124.1518079535
1130.67849420109, -961.765501254994, -124.13958419704
1141.60590577348, -960.419518615424, -124.182107858068
1152.3900037112, -958.203044471286, -124.280842624148
1162.95807093222, -955.119029001456, -124.435889460672
1173.24198894102, -951.192379805919, -124.645927538398
1183.18349660148, -946.46758608816, -124.90834515329
1192.73778411077, -941.004009056824, -125.219526446724
1201.87487901664, -934.870059799585, -125.575218028149
1210.57899199986, -928.137550896084, -125.970892616166
1218.84646591319, -920.877119063834, -126.402049782219
1226.68308661944, -913.155077640008, -126.864427842503
1234.10136497205, -905.031629325795, -127.35412891888
1241.11666219602, -896.558968144685, -127.867755686274
1247.7387956551, -887.776717689974, -128.402736376035
1253.97765748275, -878.719203166638, -128.95683758662
1259.84574227837, -869.418106431962, -129.527984513005
1265.35733772444, -859.902254270132, -130.114277702555
1270.5278386948, -850.197577049007, -130.713998428621
1275.37319168374, -840.327194926551, -131.325605392461
1279.90946320819, -830.311585772282, -131.947725708451
1284.15251782399, -820.168798902901, -132.579142524462
1288.11778805626, -809.914688500778, -133.218781018181
1291.82011838009, -799.563148902049, -133.865693979075
1295.27366691976, -789.126340440969, -134.519047764168
1298.49185089739, -778.614899327731, -135.178109100183
1301.48732428362, -768.038128354681, -135.842232982883
1304.27197858232, -757.404167449943, -136.51085177242
1306.85695964024, -746.720144475778, -137.183465487605
1309.2526951358, -735.992307464614, -137.859633244134
1311.46892873231, -725.226139896967, -138.538965750216
1313.51475801276, -714.426460794475, -139.221118757731
1315.39867408295, -703.597511386131, -139.905787364977
1317.12860138796, -692.743030025272, -140.592701069548
1318.71193673489, -681.866316889878, -141.281619477422
1320.15558686773, -670.970289851944, -141.972328582259
1321.46600419469, -660.057532728203, -142.664637539039
1322.64922042926, -649.130336980188, -143.358375864707
1323.71087804991, -638.190737785476, -144.053391007294
1324.65625956197, -627.240545277301, -144.749546232619
1325.49031460626, -616.281371634864, -145.446718784776
1326.21768500039, -605.314654611439, -146.14479828255
1326.84272781758, -594.341678000015, -146.843685319392
1327.3695366233, -583.363589465227, -147.543290239073
1327.801960996, -572.381416106254, -148.243532063198
1328.14362445796, -561.396078063551, -148.944337550095
1328.39794093808, -550.408400435796, -149.64564036755
1328.56812988628, -539.419123735207, -150.347380364336
1328.65723014958, -528.428913076744, -151.04950292761
1328.66811271576, -517.438366268353, -151.751958415048
1328.60349242019, -506.448020945994, -152.454701652178
1328.4659387049, -495.458360877035, -153.157691486634
1328.25788551501, -484.469821537943, -153.860890392236
1327.98164040445, -473.482795058188, -154.564264116729
1327.63939292159, -462.497634609243, -155.267781367849
1327.23322233752, -451.51465830719, -155.971413533113
1326.76510477443, -440.534152687932, -156.675134429296
1326.23691978418, -429.556375806854, -157.378920078119
1325.65045642778, -418.581560007082, -158.082748505096
1325.00741889526, -407.60991439565, -158.786599558883
1324.30943170696, -396.641627061307, -159.490454748817
1323.55804453159, -385.676867063561, -160.194297098585
1322.75473665248, -374.715786218986, -160.898111014271
1321.90092111191, -363.75852070743, -161.601882165183
1320.99794855992, -352.805192518076, -162.305597376104
1320.04711083194, -341.855910752854, -163.009244529727
1319.04964427715, -330.910772802692, -163.712812478225
1318.00673285761, -319.969865410139, -164.416290962989
1316.9195110369, -309.033265630348, -165.119670541699
1315.78906647394, -298.101041701146, -165.822942521987
1314.61644253814, -287.173253831517, -166.526098901021
1313.40264065975, -276.249954916777, -167.229132310439
1312.14862252749, -265.331191187955, -167.932035966085
1310.85531214546, -254.417002801912, -168.634803622105
1309.52359776011, -243.50742437801, -169.337429528968
1308.15433366699, -232.602485486587, -170.03990839505
1306.7483419058, -221.702211093918, -170.742235351445
1305.30641385276, -210.80662196773, -171.444405919704
1303.82931171731, -199.915735047039, -172.146415982234
1302.31776995012, -189.029563779674, -172.848261755124
1300.77249656951, -178.148118430302, -173.549939763168
1299.19417441134, -167.271406361803, -174.251446816906
1297.58346230862, -156.399432292221, -174.952779991505
1295.94099620582, -145.532198529487, -175.653936607317
1294.26739021226, -134.669705185853, -176.35491421198
1292.56323759981, -123.811950373617, -177.055710563932
1290.82911174827, -112.958930383882, -177.756323617225
1289.06556704321, -102.110639849372, -178.45675150754
1287.27313972921, -91.2670718928635, -179.156992539303
1285.45234872281, -80.4282182620215, -179.857045173829
1283.60369638792, -69.5940694517453, -180.556908018418
1281.72766927755, -58.7646148146663, -181.256579816333
1279.82473884484, -47.9398426607037, -181.95605943761
1277.89536212634, -37.119740345909, -182.655345870657
1275.93998240115, -26.3042943515798, -183.354438214571
1273.95902982894, -15.4934903532966, -184.053335672189
1271.95292206998, -4.68731328088843, -184.752037543783
1269.92206489078, 6.11425263131607, -185.450543221436
1267.8668527591, 16.9112238033074, -186.148852184045
1265.78766943176, 27.7036172780726, -186.846963992973
1263.6848885402, 38.4914506997928, -187.544878288327
1261.55887417718, 49.274742302746, -188.242594785914
1259.4099281465, 60.0535002470153, -188.940112805625
1257.23806504461, 70.8276769551536, -189.637429248267
1255.04321969551, 81.5972086591123, -190.334540297393
1252.82534683824, 92.3620352012303, -191.031442288033
1250.58442246281, 103.122100468884, -191.728131729155
1248.32044507877, 113.877352848234, -192.424605327616
1246.03343698077, 124.62774569207, -193.120860013029
1243.72344550195, 135.373237799889, -193.816892963454
1241.39054424568, 146.113793906864, -194.512701631754
1239.03483428513, 156.849385178986, -195.208283772462
1236.65644531963, 167.579989710296, -195.903637468961
1234.25553677582, 178.305593018388, -196.598761160772
1231.83229884158, 189.026188533537, -197.2936536707
1229.3869534194, 199.741778076643, -197.988314231591
1226.9197549869, 210.452372320585, -198.682742512388
1224.4309913507, 221.157991229695, -199.376938643227
1221.92098428058, 231.858664471265, -200.07090323921
1219.39009001147, 242.554431793347, -200.764637422558
1216.83869960043, 253.24534336263, -201.458142842784
1214.26723912685, 263.9314600565, -202.151421694562
1211.67616972594, 274.612853703253, -202.844476732955
1209.06598744492, 285.289607265004, -203.53731128567
1206.43722291423, 295.961814957679, -204.229929262042
1203.79044082778, 306.629582303707, -204.922335158472
1201.12623922677, 317.293026112931, -205.614534060053
1198.44524858521, 327.952274388333, -206.306531638195
1195.74813069657, 338.607466154247, -206.998334144065
1193.03557736369, 349.258751205141, -207.689948397757
1190.30830889643, 359.906289774572, -208.38138177311
1187.56707242376, 370.550252124713, -209.072642178187
1184.81264003009, 381.190818058268, -209.763738031508
1182.04580672729, 391.828176355494, -210.45467823413
1179.26738827635, 402.462524140268, -211.145472137809
1176.47821887471, 413.094066180309, -211.836129509471
1173.67914872769, 423.72301412777, -212.52666049235
1170.87104152259, 434.349585706993, -213.217075564121
1168.05477182709, 444.974003857551, -213.90738549249
1165.23122243317, 455.59649584091, -214.597601288662
1162.40128166902, 466.217292319881, -215.287734159207
1159.56584070148, 476.836626420217, -215.977795456824
1156.72579085141, 487.454732783904, -216.667796630514
1153.88202095129, 498.071846625686, -217.357749175777
1151.03518111698, 508.688140323929, -218.047661522236
1148.18508098166, 519.303561986491, -218.737531110999
1145.33134582425, 529.91801011831, -219.427352946678
1142.47360514005, 540.53138395215, -220.117122063618
1139.61149247933, 551.143583362477, -220.806833521037
1136.74464530644, 561.754508793639, -221.49648239899
1133.87270486347, 572.364061190238, -222.18606379447
1130.99531603843, 582.972141929651, -222.875572817615
1128.11212723764, 593.578652756683, -223.565004588032
1125.22279026227, 604.183495720074, -224.254354231258
1122.32696018882, 614.786573110937, -224.943616875261
1119.42429525348, 625.387787402869, -225.632787647082
1116.51445674013, 635.987041193747, -226.321861669609
1113.59710887192, 646.584237149044, -227.010834058317
1110.67191870628, 657.179277946649, -227.699699918198
1107.73855603331, 667.772066223034, -228.388454340717
1104.79669327726, 678.362504520764, -229.077092400847
1101.84600540122, 688.950495237212, -229.765609154172
1098.88616981479, 699.535940574457, -230.453999634052
1095.91686628462, 710.118742490269, -231.142258848846
1092.93777684777, 720.698802650127, -231.83038177919
1089.94858572782, 731.276022380257, -232.51836337533
1086.94897925361, 741.850302621483, -233.206198554493
1083.93864578048, 752.421543884111, -233.893882198324
1080.9172756141, 762.989646203417, -234.581409150334
1077.88456093663, 773.55450909614, -235.26877421342
1074.84019573523, 784.116031517432, -235.955972147399
1071.78387573286, 794.674111818785, -236.642997666587
1068.71529832131, 805.228647706257, -237.329845437405
1065.63416249632, 815.779536199646, -238.016510076017
1062.54016879489, 826.326673591913, -238.702986145998
1059.43301923454, 836.869955409336, -239.389268156019
1056.31241725462, 847.409276372055, -240.075350557564
1053.17806765956, 857.944530355119, -240.761227742664
1050.02967656396, 868.475610349923, -241.446894041652
1046.86695133965, 879.002408426127, -242.13234372094
1043.68960056444, 889.524815693788, -242.8175709808
1040.49733397271, 900.042722266084, -243.502569953182
1037.2898624078, 910.55601722204, -244.187334699517
1034.06689777595, 921.064588569937, -244.871859208565
1030.82815300206, 931.5683232106, -245.556137394243
1027.573341987, 942.067106901354, -246.24016309349
1024.30217956667, 952.560824219781, -246.923930064116
1021.01438147242, 963.049358528159, -247.607431982686
1017.7096642933, 973.532591937704, -248.290662442381
1014.38774543966, 984.010405273287, -248.973614950893
1011.04834310836, 994.482678038182, -249.656282928308
1007.69117624947, 1004.94928837903, -250.338659704998
1004.31596453444, 1015.41011305094, -251.020738519511
1000.92242832577, 1025.86502738274, -251.702512516508
997.510288648087, 1036.31390524238, -252.383974744591
994.079266617229, 1046.75661882145, -253.065118144879
990.629026449532, 1057.19301980692, -253.745934574415
987.159124880084, 1067.62292216169, -254.426413906935
983.669105972173, 1078.04613276492, -255.106545613847
980.158512659558, 1088.4624551192, -255.78631895523
976.626886588805, 1098.87168920316, -256.465722971046
973.073767963535, 1109.27363132692, -257.144746472513
969.49869539171, 1119.6680739852, -257.823378033331
965.901205735985, 1130.05480570774, -258.501605980711
962.28083396686, 1140.4336109073, -259.179418386248
958.637113018755, 1150.80426972444, -259.856803056573
954.969573648788, 1161.16655786973, -260.533747523828
951.277744298327, 1171.52024646239, -261.2102390359
947.561150957166, 1181.86510186584, -261.886264546458
943.819317030452, 1192.20088551973, -262.56181070474
940.05176320821, 1202.52735376821, -263.236863845101
